 ,Name,ID,DG,DrugOrNonDrug,logP,formula,exactmass,NumberofCarbons,wienerindex,MSA,PSA,apolarsurfacearea,donorCount,acceptorCount,rotatablebondCount,atomCount,hydrogenCount,NHA,molecularpolarizability,aliphaticringCount,aromaticringCount,aromaticatomCount,balabanindex,hararyindex,bondCount,hyperwienerindex,plattindex,randicindex,ringCount,szegedindex,wienerpolarity,DG_NHA,DG_MW,DG_PSA,DG_MSA,DG_apolarSA,DG_Wiener,DG_P,DG_NoC
27,Azelastine,DR027,-8.08,1,3.94,C22H24ClN3O,381.16,22,1795,492.39,48.48,443.91,0,4,3,51,24,27,42.62,2,2,12,1.45,105.02,54,6803,194,22.57,4,3090,47,-0.3,-0.02,-0.17,-0.02,-0.02,0,0,-0.37
28,Baclofen,DR028,-8.76,1,1.33,C10H12ClNO2,213.06,10,318,261.77,37.3,224.47,2,4,4,26,12,14,21.91,0,1,6,2.36,37.17,26,867,86,11.6,1,438,17,-0.63,-0.04,-0.23,-0.03,-0.04,-0.03,-0.41,-0.88
29,Benztropine,DR029,-12.31,1,4.28,C21H25NO,307.19,21,1161,424.04,22.82,401.22,0,2,4,48,25,23,37.23,2,2,12,1.36,82.79,51,3953,188,21.17,4,1805,35,-0.54,-0.04,-0.54,-0.03,-0.03,-0.01,0,-0.59
30,Betamethasone,DR030,-13.36,1,1.14,C22H29FO5,392.2,22,1670,483.29,94.83,388.46,3,6,2,57,29,28,39.88,4,0,0,1.71,122.14,60,5555,234,24.85,4,3180,70,-0.48,-0.03,-0.14,-0.03,-0.03,-0.01,-0.97,-0.61
31,Bicalutamide,DR031,-9.67,1,2.53,C18H14F4N2O4S,430.06,18,2378,475.24,103.61,371.63,2,10,7,43,14,29,36.54,0,2,12,1.96,112.07,44,10485,148,19.23,2,3158,47,-0.33,-0.02,-0.09,-0.02,-0.03,0,-0.03,-0.54
32,Bosentan,DR032,-11.35,1,3.56,C27H29N5O6S,551.18,27,4854,698.27,142,556.27,2,10,10,68,29,39,56.82,2,2,12,1.46,176.15,71,22463,238,30.46,4,7212,64,-0.29,-0.02,-0.08,-0.02,-0.02,0,0,-0.42
33,Brinzolamide,DR033,-13.49,1,-1.77,C12H21N3O5S3,383.06,12,1142,457.98,136.1,321.88,2,9,7,44,21,23,37.25,1,1,5,2.16,82.56,45,3870,166,18.93,2,1578,38,-0.59,-0.04,-0.1,-0.03,-0.04,-0.01,-794.09,-1.12
34,Bupivacaine,DR034,-6.17,1,3.57,C18H28N2O,288.22,18,958,435.34,30.66,404.68,1,3,5,49,28,21,34.4,1,1,6,1.82,69.41,50,3290,186,21.04,2,1354,31,-0.29,-0.02,-0.2,-0.01,-0.02,-0.01,0,-0.34
35,Buprenorphine,DR035,-6.58,1,3.83,C29H41NO4,467.3,29,2624,641.76,72.51,569.25,2,5,5,75,41,34,52.31,6,1,6,1.42,168.69,81,8888,326,32.49,7,5957,86,-0.19,-0.01,-0.09,-0.01,-0.01,0,0,-0.23
36,Bupropion,DR036,-9.23,1,3.6,C13H18ClNO,239.11,13,454,337.12,17.07,320.05,1,3,4,34,18,16,26.96,0,1,6,2.46,46.01,34,1327,120,14.74,1,589,20,-0.58,-0.04,-0.54,-0.03,-0.03,-0.02,0,-0.71
37,Buspirone,DR037,-10,1,1.17,C21H31N5O2,385.25,21,2514,520.61,90.34,430.27,0,7,6,59,31,28,42.01,4,0,0,1.08,102.74,62,13028,238,25.5,4,3770,42,-0.36,-0.03,-0.11,-0.02,-0.02,0,-0.68,-0.48
38,Cabergoline,DR038,-7.94,1,2.28,C26H37N5O2,451.29,26,3064,613.35,80.35,533,2,6,8,70,37,33,52.58,2,2,9,1.47,140.43,73,12891,270,30.48,4,4867,57,-0.24,-0.02,-0.1,-0.01,-0.01,0,-0.04,-0.31
39,Caffeine,DR039,-6.3,1,-2.04,C8H10N4O2,194.08,8,258,251.58,61.82,189.76,0,3,0,24,10,14,18.45,2,0,0,2.23,41.35,25,565,86,10.58,2,423,25,-0.45,-0.03,-0.1,-0.03,-0.03,-0.02,-690.99,-0.79
40,Candesartan,DR040,-13.53,1,2.78,C24H20N6O3,440.16,24,3326,538.79,118.81,419.98,2,7,7,53,20,33,49.45,1,4,23,1.17,138.05,57,15608,186,24.34,5,5035,54,-0.41,-0.03,-0.11,-0.03,-0.03,0,-0.02,-0.56
41,Captopril,DR041,-12.69,1,0.64,C9H15NO3S,217.08,9,297,276.49,106.76,169.73,2,5,3,29,15,14,21.85,1,0,0,2.57,38.19,29,748,106,12.57,1,320,19,-0.91,-0.06,-0.12,-0.05,-0.07,-0.04,-2.91,-1.41
42,Carbachol,DR042,-12.31,1,-2.06,C6H15N2O2,147.11,6,139,232.7,26.3,206.4,1,4,4,25,15,10,15.31,0,0,0,3.21,20.83,24,348,86,10.58,0,139,7,-1.23,-0.08,-0.47,-0.05,-0.06,-0.09,-1413.07,-2.05
43,Celecoxib,DR043,-6.76,1,3.62,C17H14F3N3O2S,381.08,17,1654,435.24,59.29,375.95,1,7,4,40,14,26,37,1,2,12,1.68,98.35,42,6270,140,17.99,3,2432,41,-0.26,-0.02,-0.11,-0.02,-0.02,0,0,-0.4
44,Cerivastatin,DR044,-12.12,1,3.42,C26H34FNO5,459.24,26,3124,623.17,99.88,523.29,3,7,11,67,34,33,50.16,1,1,6,2.18,136.63,68,13340,238,29.41,2,4176,52,-0.37,-0.03,-0.12,-0.02,-0.02,0,0,-0.47
45,Chlordiazepoxide,DR045,-6.82,1,2.86,C16H14ClN3O,299.08,16,828,326.5,48.19,278.31,1,5,1,35,14,21,31.65,1,2,12,1.58,74.53,37,2425,120,15.97,3,1383,37,-0.32,-0.02,-0.14,-0.02,-0.02,-0.01,-0.01,-0.43
46,Chlorprocaine,DR046,-6.17,1,2.8,C13H19ClN2O2,270.11,13,700,366.12,39.89,326.23,1,5,7,37,19,18,28.92,0,1,6,2.25,52.57,37,2488,128,16.09,1,877,24,-0.34,-0.02,-0.15,-0.02,-0.02,-0.01,-0.01,-0.47
47,Chlorpheniramine,DR047,-12.76,1,3.24,C16H19ClN2,274.12,16,718,376.49,26.48,350.01,0,3,5,38,19,19,31.74,1,1,6,1.72,59.85,39,2256,134,16.79,2,1042,25,-0.67,-0.05,-0.48,-0.03,-0.04,-0.02,-0.01,-0.8
48,Chlorpromazine,DR048,-12.08,1,3.88,C17H19ClN2S,318.1,17,896,404.24,52.48,351.76,0,4,4,40,19,21,36.07,1,2,12,1.47,72.37,42,2875,146,17.76,3,1636,33,-0.58,-0.04,-0.23,-0.03,-0.03,-0.01,0,-0.71
49,Chlorzoxazone,DR049,-7.48,1,1.61,C7H4ClNO2,168.99,7,143,176.79,26.3,150.49,1,4,0,15,4,11,15.58,1,1,6,1.97,27.8,16,302,50,6.95,2,241,13,-0.68,-0.04,-0.28,-0.04,-0.05,-0.05,-0.18,-1.07
50,Cimetidine,DR050,-5.9,1,-0.5,C10H16N6S,252.12,10,664,332.92,90.13,242.79,3,6,6,33,16,17,26.14,1,0,0,1.85,46.16,33,2534,110,14.49,1,693,18,-0.35,-0.02,-0.07,-0.02,-0.02,-0.01,-18.67,-0.59
51,Ciprofloxacin,DR051,-4.39,1,0.4,C17H18FN3O3,331.13,17,1234,385.48,71.2,314.28,2,7,3,42,18,24,32.76,2,2,10,1.42,90.59,45,4135,164,18.68,4,2237,43,-0.18,-0.01,-0.06,-0.01,-0.01,0,-1.75,-0.26
52,Cisapride,DR052,-10.71,1,3.61,C23H29ClFN3O4,465.18,23,3560,589.85,58.35,531.5,2,9,9,61,29,32,47.38,1,2,12,1.31,122.85,63,19542,222,26.81,3,5082,49,-0.33,-0.02,-0.18,-0.02,-0.02,0,0,-0.47
53,Citalopram,DR053,-12.45,1,3.54,C20H21FN2O,324.16,20,1298,440.51,46.61,393.9,0,4,6,45,21,24,35.71,1,2,12,1.59,87.89,47,4554,166,19.92,3,1925,39,-0.52,-0.04,-0.27,-0.03,-0.03,-0.01,0,-0.62
54,Clarithromycin,DR054,-5.47,1,1.66,C38H69NO13,747.48,38,9201,1058.99,193.26,865.73,4,14,8,121,69,52,77.92,3,0,0,2.13,283.13,123,43636,472,51.63,3,15073,104,-0.11,-0.01,-0.03,-0.01,-0.01,0,-0.12,-0.14
55,Clofibrate,DR055,-5.57,1,3.32,C12H15ClO3,242.07,12,468,324.13,35.53,288.6,0,4,5,31,15,16,24.91,0,1,6,2.39,45.52,31,1426,106,13.53,1,612,21,-0.35,-0.02,-0.16,-0.02,-0.02,-0.01,0,-0.46
56,Clomifene,DR056,-12.34,1,7.25,C26H28ClNO,405.19,26,2488,553.27,22.82,530.45,0,3,9,57,28,29,48.25,0,3,18,1.37,109.28,59,11485,200,25.37,3,3550,43,-0.43,-0.03,-0.54,-0.02,-0.02,0,-0.000000694,-0.47
57,Clomipramine,DR057,-11.69,1,3.61,C19H23ClN2,314.15,19,995,430.36,27.18,403.18,0,3,4,45,23,22,36.58,1,2,12,1.73,78.04,47,3194,168,19.77,3,1562,37,-0.53,-0.04,-0.43,-0.03,-0.03,-0.01,0,-0.62
58,Clonazepam,DR058,-12.37,1,2.67,C15H10ClN3O3,315.04,15,959,349.06,75.25,273.81,1,7,2,32,10,22,30.55,1,2,12,1.79,79.29,34,2952,110,14.65,3,1578,39,-0.56,-0.04,-0.16,-0.04,-0.05,-0.01,-0.03,-0.82
59,Clonidine,DR059,-11.96,1,1.88,C9H9Cl2N3,229.02,9,301,253.28,12.36,240.92,2,5,1,23,9,14,22.27,1,1,6,1.86,38.72,24,778,80,10.34,2,437,17,-0.85,-0.05,-0.97,-0.05,-0.05,-0.04,-0.16,-1.33
60,Clotrimazole,DR060,-6.47,1,5.23,C22H17ClN2,344.11,22,1225,434.74,17.82,416.92,0,2,4,42,17,25,39.72,1,3,18,1.55,99.75,45,3580,146,19.36,4,1882,44,-0.26,-0.02,-0.36,-0.01,-0.02,-0.01,-0.0000381,-0.29
61,Clozapine,DR061,-9.8,1,2.12,C18H19ClN4,326.13,18,1082,407.04,39.54,367.5,1,5,0,42,19,23,36.11,2,2,12,1.48,85.69,45,3453,158,18.79,4,1973,41,-0.43,-0.03,-0.25,-0.02,-0.03,-0.01,-0.07,-0.54
62,Codeine,DR062,-8.6,1,1.08,C18H21NO3,299.15,18,824,369.57,52.28,317.29,1,4,1,43,21,22,32.64,4,1,6,1.5,87.32,47,2211,180,19,5,2007,51,-0.39,-0.03,-0.16,-0.02,-0.03,-0.01,-0.71,-0.48
63,Cyproheptadine,DR063,-9.44,1,4.68,C21H21N,287.17,21,928,379.27,13.59,365.68,0,1,0,43,21,22,36.45,2,2,12,1.59,81.17,46,2773,162,19.22,4,1679,40,-0.43,-0.03,-0.69,-0.02,-0.03,-0.01,0,-0.45
64,Daunorubicin,DR064,-7.26,1,0.14,C27H29NO10,527.18,27,4100,619.58,159.82,459.76,5,11,4,67,29,38,52.29,3,2,12,1.48,182.48,71,17274,254,29.92,5,8110,81,-0.19,-0.01,-0.05,-0.01,-0.02,0,-5.26,-0.27
65,Decamethonium,DR065,-7.94,1,1.08,C16H38N2,258.3,16,883,480.88,0,480.88,0,2,11,56,38,18,33.18,0,0,0,3.13,47.55,55,4022,216,23.25,0,883,15,-0.44,-0.03,0,-0.02,-0.02,-0.01,-0.66,-0.5
66,Desipramine,DR066,-12.97,1,2.75,C18H22N2,266.18,18,759,385.47,13.59,371.88,1,2,4,42,22,20,32.87,1,2,12,1.57,68.05,44,2282,156,18.56,3,1230,34,-0.65,-0.05,-0.95,-0.03,-0.03,-0.02,-0.02,-0.72
67,Desogestrel,DR067,-7.44,1,4.01,C22H30O,310.23,22,1004,420.5,20.23,400.27,1,1,2,53,30,23,37.41,4,0,0,1.62,89.65,56,3020,222,22.96,4,1999,50,-0.32,-0.02,-0.37,-0.02,-0.02,-0.01,0,-0.34
68,Dexamethasone,DR068,-9.85,1,1.14,C22H29FO5,392.2,22,1670,482.97,94.83,388.14,3,6,2,57,29,28,39.88,4,0,0,1.71,122.14,60,5555,234,24.85,4,3180,70,-0.35,-0.03,-0.1,-0.02,-0.03,-0.01,-0.71,-0.45
69,Dextromethorphan,DR069,-8.35,1,3.04,C17H23NO,257.18,17,602,363.78,22.82,340.96,0,2,1,42,23,19,30.48,3,1,6,1.51,67.37,45,1642,176,18.19,4,1240,38,-0.44,-0.03,-0.37,-0.02,-0.02,-0.01,-0.01,-0.49
70,Diazepam,DR070,-11.3,1,2.92,C16H13ClN2O,284.07,16,726,337.84,32.67,305.17,0,4,1,33,13,20,30.67,1,2,12,1.63,69.49,35,2077,116,14.95,3,1237,36,-0.57,-0.04,-0.35,-0.03,-0.04,-0.02,-0.01,-0.71
71,Diazoxide,DR071,-6.97,1,1.4,C8H7ClN2O2S,229.99,8,268,242.08,54.88,187.2,1,5,0,21,7,14,21.59,1,1,6,2.13,40.81,22,616,74,9.39,2,532,22,-0.5,-0.03,-0.13,-0.03,-0.04,-0.03,-0.28,-0.87
72,Dibucaine,DR072,-6.17,1,4.22,C20H29N3O2,343.23,20,1654,503.41,52.78,450.63,1,5,10,54,29,25,40.92,1,1,6,1.72,86.97,55,6833,196,23.44,2,2348,36,-0.25,-0.02,-0.12,-0.01,-0.01,0,0,-0.31
73,Diclofenac,DR073,-8.4,1,3.75,C14H11Cl2NO2,295.02,14,706,335.35,37.3,298.05,2,5,4,30,11,19,29.59,0,2,12,1.74,60.58,31,2195,98,13.71,2,1054,27,-0.44,-0.03,-0.23,-0.03,-0.03,-0.01,0,-0.6
74,Dicloxacillin,DR074,-11.87,1,3.66,C19H17Cl2N3O5S,469.03,19,2402,510.26,136.36,373.9,2,10,3,47,17,30,44.99,2,2,11,1.33,123.44,50,9877,176,21.07,4,3243,53,-0.4,-0.03,-0.09,-0.02,-0.03,0,0,-0.62
75,Dienestrol,DR075,-14.35,1,5.91,C18H18O2,266.13,18,814,357.65,40.46,317.19,2,2,3,38,18,20,31.95,0,2,12,1.96,65.45,39,2641,124,17.25,2,1198,30,-0.72,-0.05,-0.35,-0.04,-0.05,-0.02,-0.0000177,-0.8
76,Diethylstilbestrol,DR076,-15.01,1,5.48,C18H20O2,268.15,18,814,378.3,40.46,337.84,2,2,4,40,20,20,32.18,0,2,12,1.96,65.45,41,2641,136,17.93,2,1198,30,-0.75,-0.06,-0.37,-0.04,-0.04,-0.02,-0.0000497,-0.83
77,Dihydroergotamine,DR077,-12.58,1,1.71,C33H37N5O5,583.28,33,6191,720.79,137.23,583.56,3,9,4,80,37,43,63.11,5,3,15,0.92,215.64,87,31219,328,35.48,8,10230,88,-0.29,-0.02,-0.09,-0.02,-0.02,0,-0.25,-0.38
78,Diltiazem,DR078,-6.25,1,2.84,C22H26N2O4S,414.16,22,2077,536.94,94.73,442.21,0,7,7,55,26,29,45.07,1,2,12,1.66,117.17,57,7726,198,24.25,3,3093,50,-0.22,-0.02,-0.07,-0.01,-0.01,0,-0.01,-0.28
79,Diphenhydramine,DR079,-10.76,1,3.16,C17H21NO,255.16,17,736,378.7,22.82,355.88,0,2,6,40,21,19,31.32,0,2,12,1.68,59.11,41,2371,140,17.67,2,1024,24,-0.57,-0.04,-0.47,-0.03,-0.03,-0.01,-0.01,-0.63
80,Dipyridamole,DR080,-13.05,1,-2.82,C24H40N8O4,504.32,24,3652,662.74,172.2,490.54,4,12,12,76,40,36,51.8,4,0,0,1.47,160.75,79,14864,292,33.15,4,6054,60,-0.36,-0.03,-0.08,-0.02,-0.03,0,-8623.79,-0.54
81,Dobutamine,DR081,-7.69,1,3.59,C18H23NO3,301.17,18,1346,421.96,60.69,361.27,4,4,7,45,23,22,34.25,0,2,12,1.38,69.25,46,6115,156,20.12,2,1804,28,-0.35,-0.03,-0.13,-0.02,-0.02,-0.01,0,-0.43
82,Dofetilide,DR082,-10.32,1,1.82,C19H27N3O5S2,441.14,19,3074,571.96,107.86,464.1,2,8,9,56,27,29,46.15,0,2,12,1.5,101.32,57,18090,200,24.43,2,4082,35,-0.36,-0.02,-0.1,-0.02,-0.02,0,-0.16,-0.54
83,Domperidone,DR083,-11.47,1,1.81,C22H24ClN5O2,425.16,22,2853,527.36,85.87,441.49,2,6,5,54,24,30,44.67,3,2,12,0.94,117.31,58,14454,210,24.04,5,4322,49,-0.38,-0.03,-0.13,-0.02,-0.03,0,-0.18,-0.52
84,Dopamine,DR084,-10.67,1,0.92,C8H11NO2,153.08,8,160,211.32,40.46,170.86,3,3,2,22,11,11,16.73,0,1,6,2.07,25.98,22,377,70,9.94,1,248,13,-0.97,-0.07,-0.26,-0.05,-0.06,-0.07,-1.28,-1.33
85,Dorzolamide,DR085,-12.68,1,-0.43,C10H16N2O4S3,324.03,10,634,369.94,113.28,256.66,2,7,3,35,16,19,31.33,1,1,5,2,64.14,36,1777,134,15.11,2,918,33,-0.67,-0.04,-0.11,-0.03,-0.05,-0.02,-34.12,-1.27
86,Doxazosin,DR086,-12.63,1,1.38,C23H25N5O5,451.19,23,3556,556.82,106.95,449.87,1,10,4,58,25,33,47.23,3,2,12,1.09,136.32,62,18380,216,25.9,5,6448,59,-0.38,-0.03,-0.12,-0.02,-0.03,0,-0.53,-0.55
87,Doxorubicin,DR087,-7.05,1,-0.47,C27H29NO11,543.17,27,4392,629.58,180.05,449.53,6,12,5,68,29,39,52.96,3,2,12,1.45,189.16,72,18705,256,30.48,5,8622,83,-0.18,-0.01,-0.04,-0.01,-0.02,0,-20.8,-0.26
88,Droperidol,DR088,-9.44,1,2.6,C22H22FN3O2,379.17,22,2452,471.68,66.8,404.88,1,5,6,50,22,28,40.56,2,2,12,1.12,103.63,53,12374,186,22.32,4,3654,43,-0.34,-0.02,-0.14,-0.02,-0.02,0,-0.02,-0.43
89,Duloxetine,DR089,-11.93,1,4.05,C18H19NOS,297.12,18,931,393.03,37.47,355.56,1,3,6,40,19,21,35.72,0,3,15,1.39,70.64,42,3076,142,17.96,3,1388,29,-0.57,-0.04,-0.32,-0.03,-0.03,-0.01,0,-0.66
90,Edrophonium,DR090,-9.96,1,0.37,C10H16NO,166.12,10,190,262.46,20.23,242.23,1,2,2,28,16,12,19.77,0,1,6,2.5,30.52,28,431,98,12.21,1,281,16,-0.83,-0.06,-0.49,-0.04,-0.04,-0.05,-4.25,-1
91,Enalapril,DR091,-9.82,1,2.13,C20H28N2O5,376.2,20,1982,507.31,94.26,413.05,2,7,10,55,28,27,39.92,1,1,6,1.84,97.96,56,8193,202,23.97,2,2247,38,-0.36,-0.03,-0.1,-0.02,-0.02,0,-0.07,-0.49
92,Epinastine,DR092,-10.47,1,1.94,C16H15N3,249.13,16,587,312.61,25.95,286.66,1,3,0,34,15,19,28.65,2,2,12,1.51,67.2,37,1515,128,15.44,4,1107,36,-0.55,-0.04,-0.4,-0.03,-0.04,-0.02,-0.12,-0.65
93,Epinephrine,DR093,-8.77,1,0.55,C9H13NO3,183.09,9,256,250.21,60.69,189.52,4,4,3,26,13,13,19.27,0,1,6,2.18,33.52,26,667,84,11.72,1,372,17,-0.67,-0.05,-0.14,-0.04,-0.05,-0.03,-2.47,-0.97
94,Ergotamine,DR094,-6.62,1,1.71,C33H35N5O5,581.26,33,6191,704.18,137.23,566.95,3,9,4,78,35,43,63.02,5,3,15,0.92,215.64,85,31219,316,34.76,8,10230,88,-0.15,-0.01,-0.05,-0.01,-0.01,0,-0.13,-0.2
95,Erythromycin,DR095,-6.21,1,1.14,C37H67NO13,733.46,37,8842,1028.19,204.26,823.93,5,14,7,118,67,51,76.02,3,0,0,2.13,274.06,120,42047,460,50.49,3,14528,101,-0.12,-0.01,-0.03,-0.01,-0.01,0,-0.45,-0.17
96,Estradiol,DR096,-13.33,1,4.23,C18H24O2,272.18,18,724,370.28,40.46,329.82,2,2,0,44,24,20,31.34,3,1,6,1.36,71.7,47,2154,184,19.24,4,1536,39,-0.67,-0.05,-0.33,-0.04,-0.04,-0.02,0,-0.74
